offset_hex	path
0x19ab9cb	/api
0x14a8e9b	/api.anthropic.com/v1/java:heap_alloc_objects:count
0x14a30e2	/api.openai.com/v1/([A-Z][A-Z]+
0x19955af	/api.slack.com/apps
0x149b117	/api.slack.comTableColumnDefinitionquery
0x149b117	/api/clickhouse-configConfirm
0x14d8dd0	/api/clickhouse-connect
0x148c925	/api/project/
0x14d561c	/api/project/{project}/app/{app}/inspection/{type}/configtried
0x14c0c7a	/api/project/{project}/incident/{incident}/api/project/{project}/custom_applications/api/project/{project}/integrations/{type}/api/project/{project}/app/{app}/profilingkey
0x14b3471	/api/project/{project}/inspections/api/project/{project}/node/{node}global
0x19be650	/api/v1
0x148edd7	/api/v1/label/document
0x199c72e	/api/v1/write
0x14fdeb8	/debug/events
0x148dda7	/debug/eventsnamespace-uribash_20241022bash_20250124allowed_toolsfile_citationfunction_calltranscriptioncomputer_calloutput_formatempty
0x14ef9c9	/debug/pprof/
0x150311b	/debug/requests
0x1490989	/debug/varsspeed=(.+)[A-Z]read
0x148c925	/oauth/revokestatic/fonts/WINDOW_UPDATESTREAM_CLOSEDCONNECT_ERRORAuthorizationCache-ControlLast-ModifiedContent-RangeAccept-RangesIf-None-Match403
0x1a00011	/sso/saml
0x19e6cf1	/v1/logs
0x19e6cf1	/v1/traces
