source	line_or_basis	category	methods	path	note
coroot-src/main.go	151	debug	*	/debug/pprof/	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	152	api_or_http_route	Get	/health	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	154	api_or_http_route	*	/v1/metrics	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	155	api_or_http_route	*	/v1/traces	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	156	api_or_http_route	*	/v1/logs	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	157	api_or_http_route	*	/v1/profiles	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	158	api_or_http_route	*	/v1/config	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	170	api_or_http_route	Post	/api/login	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	171	api_or_http_route	Post	/api/logout	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	173	api_or_http_route	Get,Post	/api/user	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	174	api_or_http_route	Get,Post	/api/users	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	175	api_or_http_route	Get,Post	/api/roles	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	176	api_or_http_route	Get,Post	/api/sso	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	177	api_or_http_route	Get,Post	/api/ai	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	178	api_or_http_route	Get,Post	/api/cloud	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	179	api_or_http_route	Get,Post	/api/project/	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	180	api_or_http_route	Get,Post,Delete	/api/project/{project}	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	181	api_or_http_route	Get	/api/project/{project}/status	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	182	api_or_http_route	Get,Post	/api/project/{project}/api_keys	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	183	api_or_http_route	Get	/api/project/{project}/overview/{view}	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
