NAME                                           VERSION                             TYPE       
github.com/ClickHouse/ch-go                    v0.62.0                             go-module  
github.com/ClickHouse/clickhouse-go/v2         v2.8.3                              go-module  
github.com/DataDog/golz4                       v1.3.0                              go-module  
github.com/PagerDuty/go-pagerduty              v1.6.0                              go-module  
github.com/alecthomas/template                 v0.0.0-20190718012654-fb15b899a751  go-module  
github.com/alecthomas/units                    v0.0.0-20240626203959-61d1e3462e30  go-module  
github.com/andybalholm/brotli                  v1.0.5                              go-module  
github.com/anthropics/anthropic-sdk-go         v1.22.1                             go-module  
github.com/atc0005/go-teams-notify/v2          v2.13.0                             go-module  
github.com/bahlo/generic-list-go               v0.2.0                              go-module  
github.com/beevik/etree                        v1.1.0                              go-module  
github.com/beorn7/perks                        v1.0.1                              go-module  
github.com/buger/jsonparser                    v1.1.1                              go-module  
github.com/cespare/xxhash/v2                   v2.3.0                              go-module  
github.com/coreos/go-oidc/v3                   v3.17.0                             go-module  
github.com/coroot/coroot                       v1.22.0                             go-module  
github.com/coroot/enterprise                   v1.22.0                             go-module  
github.com/coroot/logparser                    v1.1.4                              go-module  
github.com/crewjam/httperr                     v0.2.0                              go-module  
github.com/crewjam/saml                        v0.4.14                             go-module  
github.com/dennwc/varint                       v1.0.0                              go-module  
github.com/dustin/go-humanize                  v1.0.1                              go-module  
github.com/edsrzf/mmap-go                      v1.1.0                              go-module  
github.com/facette/natsort                     v0.0.0-20181210072756-2cd4dd1e2dcb  go-module  
github.com/go-faster/city                      v1.0.1                              go-module  
github.com/go-faster/errors                    v0.7.1                              go-module  
github.com/go-jose/go-jose/v4                  v4.1.3                              go-module  
github.com/go-logr/logr                        v1.4.2                              go-module  
github.com/go-logr/stdr                        v1.2.2                              go-module  
github.com/gogo/protobuf                       v1.3.2                              go-module  
github.com/golang-jwt/jwt/v4                   v4.4.3                              go-module  
github.com/golang-jwt/jwt/v5                   v5.3.1                              go-module  
github.com/golang/snappy                       v0.0.4                              go-module  
github.com/google/go-querystring               v1.1.0                              go-module  
github.com/google/pprof                        v0.0.0-20240711041743-f6c9dda6c6da  go-module  
github.com/google/uuid                         v1.6.0                              go-module  
github.com/gorilla/mux                         v1.8.0                              go-module  
github.com/gorilla/websocket                   v1.5.0                              go-module  
github.com/grafana/pyroscope-go/godeltaprof    v0.1.8                              go-module  
github.com/grafana/regexp                      v0.0.0-20240518133315-a468a5bfb3bc  go-module  
github.com/grpc-ecosystem/grpc-gateway/v2      v2.22.0                             go-module  
github.com/hako/durafmt                        v0.0.0-20210608085754-5c1018a4e16b  go-module  
github.com/hashicorp/go-cleanhttp              v0.5.2                              go-module  
github.com/hashicorp/go-retryablehttp          v0.7.7                              go-module  
github.com/hashicorp/go-version                v1.7.0                              go-module  
github.com/invopop/jsonschema                  v0.13.0                             go-module  
github.com/jackc/puddle/v2                     v2.2.1                              go-module  
github.com/jonboulle/clockwork                 v0.2.2                              go-module  
github.com/jpillora/backoff                    v1.0.0                              go-module  
github.com/klauspost/compress                  v1.17.10                            go-module  
github.com/lib/pq                              v1.10.7                             go-module  
github.com/mailru/easyjson                     v0.7.7                              go-module  
github.com/mark3labs/mcp-go                    v0.45.0                             go-module  
github.com/matoous/go-nanoid                   v1.5.0                              go-module  
github.com/mattermost/xml-roundtrip-validator  v0.1.0                              go-module  
github.com/mattn/go-sqlite3                    v1.14.15                            go-module  
github.com/munnerz/goautoneg                   v0.0.0-20191010083416-a7dc8b61c822  go-module  
github.com/openai/openai-go/v3                 v3.22.0                             go-module  
github.com/opsgenie/opsgenie-go-sdk-v2         v1.2.14                             go-module  
github.com/paulmach/orb                        v0.9.0                              go-module  
github.com/pierrec/lz4/v4                      v4.1.21                             go-module  
github.com/pkg/errors                          v0.9.1                              go-module  
github.com/prometheus/client_golang            v1.20.5                             go-module  
github.com/prometheus/client_model             v0.6.1                              go-module  
github.com/prometheus/common                   v0.60.1                             go-module  
github.com/prometheus/procfs                   v0.15.1                             go-module  
github.com/prometheus/prometheus               v0.300.0                            go-module  
github.com/russellhaering/goxmldsig            v1.3.0                              go-module  
github.com/segmentio/asm                       v1.2.0                              go-module  
github.com/shopspring/decimal                  v1.3.1                              go-module  
github.com/sirupsen/logrus                     v1.9.3                              go-module  
github.com/slack-go/slack                      v0.11.3                             go-module  
github.com/spf13/cast                          v1.7.1                              go-module  
github.com/tidwall/gjson                       v1.18.0                             go-module  
github.com/tidwall/match                       v1.2.0                              go-module  
github.com/tidwall/pretty                      v1.2.1                              go-module  
github.com/tidwall/sjson                       v1.2.5                              go-module  
github.com/vmihailenco/msgpack/v5              v5.4.1                              go-module  
github.com/vmihailenco/tagparser/v2            v2.0.0                              go-module  
github.com/wk8/go-ordered-map/v2               v2.1.8                              go-module  
github.com/xhit/go-str2duration/v2             v2.1.0                              go-module  
github.com/yosida95/uritemplate/v3             v3.0.2                              go-module  
go.opentelemetry.io/collector/semconv          v0.110.0                            go-module  
go.opentelemetry.io/otel                       v1.31.0                             go-module  
go.opentelemetry.io/otel/metric                v1.31.0                             go-module  
go.opentelemetry.io/otel/trace                 v1.31.0                             go-module  
go.opentelemetry.io/proto/otlp                 v1.3.1                              go-module  
go.uber.org/atomic                             v1.11.0                             go-module  
go.uber.org/multierr                           v1.11.0                             go-module  
go.uber.org/zap                                v1.27.0                             go-module  
go4.org/intern                                 v0.0.0-20211027215823-ae77deb06f29  go-module  
go4.org/unsafe/assume-no-moving-gc             v0.0.0-20230525183740-e7c30c78aeb2  go-module  
golang.org/x/crypto                            v0.40.0                             go-module  
golang.org/x/exp                               v0.0.0-20240119083558-1b970713d09a  go-module  
golang.org/x/net                               v0.41.0                             go-module  
golang.org/x/oauth2                            v0.30.0                             go-module  
golang.org/x/sync                              v0.16.0                             go-module  
golang.org/x/sys                               v0.34.0                             go-module  
golang.org/x/term                              v0.33.0                             go-module  
golang.org/x/text                              v0.27.0                             go-module  
gonum.org/v1/gonum                             v0.12.0                             go-module  
google.golang.org/genproto/googleapis/api      v0.0.0-20240903143218-8af14fe29dc1  go-module  
google.golang.org/genproto/googleapis/rpc      v0.0.0-20240903143218-8af14fe29dc1  go-module  
google.golang.org/grpc                         v1.67.1                             go-module  
google.golang.org/protobuf                     v1.34.2                             go-module  
gopkg.in/alecthomas/kingpin.v2                 v2.2.6                              go-module  
gopkg.in/yaml.v3                               v3.0.1                              go-module  
inet.af/netaddr                                v0.0.0-20230525184311-b8eac61e914a  go-module  
k8s.io/klog                                    v1.0.0                              go-module  
stdlib                                         go1.25.11                           go-module  
